                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 4.1727,                 5.9411,                 4.2853,                      0,                      0,                      0,                      0,                 4.5311,                  5.967,                 4.1611,             0.00043495,             0.00043495,             0.00043495
                     13,                 4.2731,                   5.39,                 4.3162,                      0,                      0,                      0,                      0,                 4.5357,                 5.9637,                 4.1627,              0.0004703,              0.0004703,              0.0004703
                     14,                 3.5282,                  5.744,                 4.3804,                      0,                      0,                      0,                      0,                 4.5408,                 5.9566,                  4.165,             0.00050525,             0.00050525,             0.00050525
                     15,                 3.3862,                 5.9016,                 4.1145,                      0,                      0,                      0,                      0,                 4.5408,                 5.9566,                  4.165,             0.00053981,             0.00053981,             0.00053981
                     16,                 4.4646,                 5.4899,                 4.0998,                      0,                      0,                      0,                      0,                 4.5466,                 5.9457,                 4.1677,             0.00057397,             0.00057397,             0.00057397
                     17,                 3.4911,                 4.8209,                 4.2945,                      0,                      0,                      0,                      0,                 4.5538,                 5.9309,                 4.1712,             0.00060773,             0.00060773,             0.00060773
                     18,                 4.3832,                 5.9014,                 4.0412,                      0,                      0,                      0,                      0,                 4.5538,                 5.9309,                 4.1712,              0.0006411,              0.0006411,              0.0006411
                     19,                 3.5911,                 4.7691,                 4.1765,                      0,                      0,                      0,                      0,                 4.5638,                 5.9088,                 4.1772,             0.00067407,             0.00067407,             0.00067407
                     20,                 3.7904,                 5.1264,                 4.0581,                      0,                      0,                      0,                      0,                 4.5638,                 5.9088,                 4.1772,             0.00070664,             0.00070664,             0.00070664
                     21,                 3.5713,                 5.2813,                  4.105,                      0,                      0,                      0,                      0,                 4.5752,                  5.884,                 4.1848,             0.00073882,             0.00073882,             0.00073882
                     22,                 3.6053,                 5.4355,                 4.1974,                      0,                      0,                      0,                      0,                 4.5752,                  5.884,                 4.1848,              0.0007706,              0.0007706,              0.0007706
                     23,                 3.3888,                 4.5771,                 4.1395,                      0,                      0,                      0,                      0,                 4.5864,                 5.8481,                 4.1929,             0.00080199,             0.00080199,             0.00080199
                     24,                  3.713,                 4.9689,                 4.1019,                      0,                      0,                      0,                      0,                 4.5864,                 5.8481,                 4.1929,             0.00083298,             0.00083298,             0.00083298
                     25,                 3.3885,                 4.8905,                  3.969,                      0,                      0,                      0,                      0,                 4.5981,                 5.7806,                  4.203,             0.00086358,             0.00086358,             0.00086358
                     26,                 4.0125,                 6.9885,                 3.6529,                      0,                      0,                      0,                      0,                 4.5981,                 5.7806,                  4.203,             0.00089377,             0.00089377,             0.00089377
                     27,                 4.0682,                 5.0438,                 3.9205,                      0,                      0,                      0,                      0,                 4.5981,                 5.7806,                  4.203,             0.00092358,             0.00092358,             0.00092358
                     28,                 3.7719,                 4.2347,                 3.6827,                      0,                      0,                      0,                      0,                 4.6099,                 5.6722,                 4.2143,             0.00095298,             0.00095298,             0.00095298
                     29,                 3.8472,                 4.4676,                 3.9265,                      0,                      0,                      0,                      0,                 4.6099,                 5.6722,                 4.2143,               0.000982,               0.000982,               0.000982
                     30,                  4.054,                 5.0202,                 3.7473,                      0,                      0,                      0,                      0,                 4.6077,                 5.4931,                 4.2164,              0.0010106,              0.0010106,              0.0010106
                     31,                 3.6021,                 5.1233,                 3.7379,                      0,                      0,                      0,                      0,                 4.6077,                 5.4931,                 4.2164,              0.0010388,              0.0010388,              0.0010388
                     32,                 3.2305,                 5.1671,                  3.738,                      0,                      0,                      0,                      0,                 4.6077,                 5.4931,                 4.2164,              0.0010667,              0.0010667,              0.0010667
                     33,                  3.654,                 4.3889,                 3.7043,                      0,                      0,                      0,                      0,                 4.5899,                 5.2995,                 4.2065,              0.0010941,              0.0010941,              0.0010941
                     34,                 3.8804,                 5.1138,                 3.9515,                      0,                      0,                      0,                      0,                 4.5899,                 5.2995,                 4.2065,              0.0011211,              0.0011211,              0.0011211
                     35,                 4.2673,                  5.746,                  3.845,                      0,                      0,                      0,                      0,                 4.5899,                 5.2995,                 4.2065,              0.0011477,              0.0011477,              0.0011477
                     36,                 3.0274,                 4.7419,                 4.0585,                      0,                      0,                      0,                      0,                 4.6212,                   5.15,                 4.2327,               0.001174,               0.001174,               0.001174
                     37,                  4.227,                 4.5213,                 3.5578,                      0,                      0,                      0,                      0,                 4.6212,                   5.15,                 4.2327,              0.0011998,              0.0011998,              0.0011998
                     38,                 3.5066,                 4.3875,                 3.6239,                      0,                      0,                      0,                      0,                 4.6212,                   5.15,                 4.2327,              0.0012253,              0.0012253,              0.0012253
                     39,                 3.5677,                 4.6886,                 3.9485,                      0,                      0,                      0,                      0,                 4.6804,                 5.0444,                 4.2808,              0.0012503,              0.0012503,              0.0012503
                     40,                 2.8296,                 4.1113,                 3.4249,                      0,                      0,                      0,                      0,                 4.6804,                 5.0444,                 4.2808,               0.001275,               0.001275,               0.001275
                     41,                 3.2844,                 4.3666,                 3.8404,                      0,                      0,                      0,                      0,                 4.6804,                 5.0444,                 4.2808,              0.0012992,              0.0012992,              0.0012992
                     42,                 3.0474,                 4.6563,                 3.6607,                      0,                      0,                      0,                      0,                 4.5323,                 4.9262,                 4.1727,              0.0013231,              0.0013231,              0.0013231
                     43,                 3.5074,                 4.0321,                 3.4337,                      0,                      0,                      0,                      0,                 4.5323,                 4.9262,                 4.1727,              0.0013466,              0.0013466,              0.0013466
                     44,                 3.0335,                 4.2664,                 3.4373,                      0,                      0,                      0,                      0,                 4.5323,                 4.9262,                 4.1727,              0.0013696,              0.0013696,              0.0013696
                     45,                 3.0361,                 3.9487,                 3.3907,                      0,                      0,                      0,                      0,                 4.5323,                 4.9262,                 4.1727,              0.0013923,              0.0013923,              0.0013923
                     46,                  2.826,                 3.8356,                 3.4681,                      0,                      0,                      0,                      0,                 4.3647,                 4.8336,                 4.0667,              0.0014146,              0.0014146,              0.0014146
                     47,                 3.2203,                   3.85,                 3.5979,                      0,                      0,                      0,                      0,                 4.3647,                 4.8336,                 4.0667,              0.0014365,              0.0014365,              0.0014365
                     48,                 3.4528,                 4.7201,                 3.5473,                      0,                      0,                      0,                      0,                 4.3647,                 4.8336,                 4.0667,               0.001458,               0.001458,               0.001458
                     49,                 3.1817,                 3.6758,                 3.1814,                      0,                      0,                      0,                      0,                 4.3647,                 4.8336,                 4.0667,              0.0014791,              0.0014791,              0.0014791
                     50,                 3.3839,                 4.2626,                 3.2942,                      0,                      0,                      0,                      0,                 4.4216,                  4.831,                 4.1049,              0.0014998,              0.0014998,              0.0014998
                     51,                 2.8584,                 4.0565,                 3.1488,                      0,                      0,                      0,                      0,                 4.4216,                  4.831,                 4.1049,               0.001505,               0.001505,               0.001505
                     52,                 4.1196,                 3.6833,                 3.4092,                      0,                      0,                      0,                      0,                 4.4216,                  4.831,                 4.1049,               0.001505,               0.001505,               0.001505
                     53,                 2.9545,                 4.1788,                 3.5494,                      0,                      0,                      0,                      0,                 4.4216,                  4.831,                 4.1049,              0.0014951,              0.0014951,              0.0014951
                     54,                 2.7317,                 3.9799,                  3.327,                      0,                      0,                      0,                      0,                 4.8169,                 5.4741,                 4.4333,              0.0014852,              0.0014852,              0.0014852
                     55,                 2.8867,                 4.2899,                 3.1047,                      0,                      0,                      0,                      0,                 4.8169,                 5.4741,                 4.4333,              0.0014753,              0.0014753,              0.0014753
                     56,                 3.2786,                 4.5592,                 3.5032,                      0,                      0,                      0,                      0,                 4.8169,                 5.4741,                 4.4333,              0.0014654,              0.0014654,              0.0014654
                     57,                  2.961,                 4.4523,                 3.5625,                      0,                      0,                      0,                      0,                 4.8169,                 5.4741,                 4.4333,              0.0014555,              0.0014555,              0.0014555
                     58,                   2.96,                 4.2374,                 2.8825,                      0,                      0,                      0,                      0,                 4.6513,                 5.4601,                 4.3085,              0.0014456,              0.0014456,              0.0014456
                     59,                 4.0357,                 4.3785,                 3.3486,                      0,                      0,                      0,                      0,                 4.6513,                 5.4601,                 4.3085,              0.0014357,              0.0014357,              0.0014357
                     60,                 3.0027,                 3.5943,                 3.0691,                      0,                      0,                      0,                      0,                 4.6513,                 5.4601,                 4.3085,              0.0014258,              0.0014258,              0.0014258
                     61,                 3.0397,                 3.2851,                 3.0537,                      0,                      0,                      0,                      0,                 4.6513,                 5.4601,                 4.3085,              0.0014159,              0.0014159,              0.0014159
                     62,                 3.6746,                 3.2181,                 3.3599,                      0,                      0,                      0,                      0,                 3.7474,                 5.0644,                  3.885,               0.001406,               0.001406,               0.001406
                     63,                 3.6099,                 3.5475,                 3.4299,                      0,                      0,                      0,                      0,                 3.7474,                 5.0644,                  3.885,              0.0013961,              0.0013961,              0.0013961
                     64,                 3.7847,                 4.4523,                 3.7756,                      0,                      0,                      0,                      0,                 3.7474,                 5.0644,                  3.885,              0.0013862,              0.0013862,              0.0013862
                     65,                 3.0561,                 3.3709,                 3.0917,                      0,                      0,                      0,                      0,                 3.7474,                 5.0644,                  3.885,              0.0013763,              0.0013763,              0.0013763
                     66,                 3.1255,                 3.3123,                  2.844,                0.00306,                0.45455,                0.00243,                0.00085,                 2.8626,                 4.5496,                 3.4023,              0.0013664,              0.0013664,              0.0013664
                     67,                 3.6442,                 3.8448,                 3.3786,                0.00306,                0.45455,                0.00243,                0.00085,                 2.8626,                 4.5496,                 3.4023,              0.0013565,              0.0013565,              0.0013565
                     68,                  3.257,                 3.5813,                 2.9415,                0.00306,                0.45455,                0.00243,                0.00085,                 2.8626,                 4.5496,                 3.4023,              0.0013466,              0.0013466,              0.0013466
                     69,                 2.6028,                 3.0036,                 2.7123,                0.00306,                0.45455,                0.00243,                0.00085,                 2.8626,                 4.5496,                 3.4023,              0.0013367,              0.0013367,              0.0013367
                     70,                 3.1942,                 3.7476,                 3.0157,                0.02064,                0.09091,                0.02081,                0.00519,                 2.9897,                 3.9559,                 3.3309,              0.0013268,              0.0013268,              0.0013268
                     71,                 3.6655,                 3.2598,                 3.1501,                0.02064,                0.09091,                0.02081,                0.00519,                 2.9897,                 3.9559,                 3.3309,              0.0013169,              0.0013169,              0.0013169
                     72,                  3.489,                 3.7769,                 3.5448,                0.02064,                0.09091,                0.02081,                0.00519,                 2.9897,                 3.9559,                 3.3309,               0.001307,               0.001307,               0.001307
                     73,                 2.9023,                  2.994,                 2.8894,                0.02064,                0.09091,                0.02081,                0.00519,                 2.9897,                 3.9559,                 3.3309,              0.0012971,              0.0012971,              0.0012971
                     74,                 3.0902,                 2.9926,                 2.4675,                 0.0892,                0.32994,                  0.039,                0.00897,                 3.4259,                  3.716,                 3.5112,              0.0012872,              0.0012872,              0.0012872
                     75,                 3.6118,                 3.7798,                 3.0193,                 0.0892,                0.32994,                  0.039,                0.00897,                 3.4259,                  3.716,                 3.5112,              0.0012773,              0.0012773,              0.0012773
                     76,                  2.875,                 3.0469,                 2.6856,                 0.0892,                0.32994,                  0.039,                0.00897,                 3.4259,                  3.716,                 3.5112,              0.0012674,              0.0012674,              0.0012674
                     77,                 3.2401,                 3.1962,                 2.7906,                 0.0892,                0.32994,                  0.039,                0.00897,                 3.4259,                  3.716,                 3.5112,              0.0012575,              0.0012575,              0.0012575
                     78,                 2.8507,                 3.0174,                 2.7542,                0.27934,                0.27273,                0.12064,                0.01861,                 3.4245,                 4.0379,                 3.4688,              0.0012476,              0.0012476,              0.0012476
                     79,                  3.074,                 2.9283,                  2.811,                0.27934,                0.27273,                0.12064,                0.01861,                 3.4245,                 4.0379,                 3.4688,              0.0012377,              0.0012377,              0.0012377
                     80,                 2.8863,                 3.8231,                 3.0877,                0.27934,                0.27273,                0.12064,                0.01861,                 3.4245,                 4.0379,                 3.4688,              0.0012278,              0.0012278,              0.0012278
                     81,                 3.8033,                 3.7653,                  3.535,                0.27934,                0.27273,                0.12064,                0.01861,                 3.4245,                 4.0379,                 3.4688,              0.0012179,              0.0012179,              0.0012179
                     82,                 3.1338,                 3.2898,                 2.9434,                0.24982,                0.09091,                0.04379,                0.01227,                 3.0753,                 4.7105,                 3.2772,               0.001208,               0.001208,               0.001208
                     83,                 2.6702,                 3.5134,                 2.5915,                0.24982,                0.09091,                0.04379,                0.01227,                 3.0753,                 4.7105,                 3.2772,              0.0011981,              0.0011981,              0.0011981
                     84,                 2.9004,                 3.5145,                 2.8743,                0.24982,                0.09091,                0.04379,                0.01227,                 3.0753,                 4.7105,                 3.2772,              0.0011882,              0.0011882,              0.0011882
                     85,                 3.0838,                 2.8018,                  2.635,                0.24982,                0.09091,                0.04379,                0.01227,                 3.0753,                 4.7105,                 3.2772,              0.0011783,              0.0011783,              0.0011783
                     86,                 2.8826,                 3.6696,                 2.9152,                0.07634,                0.09091,                0.02123,                0.00755,                 2.7564,                 4.9409,                 3.2372,              0.0011684,              0.0011684,              0.0011684
                     87,                 3.2094,                 3.6064,                 2.9396,                0.07634,                0.09091,                0.02123,                0.00755,                 2.7564,                 4.9409,                 3.2372,              0.0011585,              0.0011585,              0.0011585
                     88,                 2.9853,                 2.8943,                 2.7779,                0.07634,                0.09091,                0.02123,                0.00755,                 2.7564,                 4.9409,                 3.2372,              0.0011486,              0.0011486,              0.0011486
                     89,                 3.6931,                 4.0385,                 3.2815,                0.07634,                0.09091,                0.02123,                0.00755,                 2.7564,                 4.9409,                 3.2372,              0.0011387,              0.0011387,              0.0011387
                     90,                 3.2832,                 3.3753,                 2.7064,                0.03393,                0.09091,                0.01224,                0.00678,                 2.5324,                 4.7493,                 3.2568,              0.0011288,              0.0011288,              0.0011288
                     91,                 3.3476,                 3.5358,                 3.1033,                0.03393,                0.09091,                0.01224,                0.00678,                 2.5324,                 4.7493,                 3.2568,              0.0011189,              0.0011189,              0.0011189
                     92,                 2.9619,                 3.6817,                 2.8907,                0.03393,                0.09091,                0.01224,                0.00678,                 2.5324,                 4.7493,                 3.2568,               0.001109,               0.001109,               0.001109
                     93,                 2.8084,                 3.7844,                 2.7566,                0.03393,                0.09091,                0.01224,                0.00678,                 2.5324,                 4.7493,                 3.2568,              0.0010991,              0.0010991,              0.0010991
                     94,                 2.6734,                 3.2714,                 2.8069,                0.00091,                0.27273,                0.00132,                0.00068,                   3.01,                  4.937,                 3.4171,              0.0010892,              0.0010892,              0.0010892
                     95,                 3.2761,                 3.0249,                 2.9548,                0.00091,                0.27273,                0.00132,                0.00068,                   3.01,                  4.937,                 3.4171,              0.0010793,              0.0010793,              0.0010793
                     96,                 3.4981,                 3.2417,                 2.8098,                0.00091,                0.27273,                0.00132,                0.00068,                   3.01,                  4.937,                 3.4171,              0.0010694,              0.0010694,              0.0010694
                     97,                 2.9957,                 2.7028,                 2.5534,                0.00091,                0.27273,                0.00132,                0.00068,                   3.01,                  4.937,                 3.4171,              0.0010595,              0.0010595,              0.0010595
                     98,                 2.6827,                 3.8085,                 3.2541,                0.09612,                0.18182,                0.06548,                0.01865,                  2.683,                 3.6504,                 3.2648,              0.0010496,              0.0010496,              0.0010496
                     99,                 2.9851,                 3.6404,                 2.7876,                0.09612,                0.18182,                0.06548,                0.01865,                  2.683,                 3.6504,                 3.2648,              0.0010397,              0.0010397,              0.0010397
                    100,                 2.9222,                 2.8168,                 2.5897,                0.09612,                0.18182,                0.06548,                0.01865,                  2.683,                 3.6504,                 3.2648,              0.0010298,              0.0010298,              0.0010298
                    101,                 3.4959,                 3.2186,                 3.3093,                0.09612,                0.18182,                0.06548,                0.01865,                  2.683,                 3.6504,                 3.2648,              0.0010199,              0.0010199,              0.0010199
                    102,                 3.3794,                 4.1458,                 3.5092,                0.12616,                0.36364,                0.09781,                0.02584,                 2.8479,                 5.4943,                  3.152,                0.00101,                0.00101,                0.00101
                    103,                 3.8267,                 4.1992,                 3.2447,                0.12616,                0.36364,                0.09781,                0.02584,                 2.8479,                 5.4943,                  3.152,              0.0010001,              0.0010001,              0.0010001
                    104,                 2.7056,                 3.3854,                 2.8351,                0.12616,                0.36364,                0.09781,                0.02584,                 2.8479,                 5.4943,                  3.152,              0.0009902,              0.0009902,              0.0009902
                    105,                 3.1486,                 2.7755,                 2.7228,                0.12616,                0.36364,                0.09781,                0.02584,                 2.8479,                 5.4943,                  3.152,              0.0009803,              0.0009803,              0.0009803
                    106,                 3.3102,                 3.5833,                 3.1572,                0.07512,                0.36364,                0.03834,                0.01275,                 3.4854,                 5.0091,                 3.6586,              0.0009704,              0.0009704,              0.0009704
                    107,                 2.4074,                 2.7136,                 2.6083,                0.07512,                0.36364,                0.03834,                0.01275,                 3.4854,                 5.0091,                 3.6586,              0.0009605,              0.0009605,              0.0009605
                    108,                 3.2344,                 3.1247,                 3.3769,                0.07512,                0.36364,                0.03834,                0.01275,                 3.4854,                 5.0091,                 3.6586,              0.0009506,              0.0009506,              0.0009506
                    109,                 3.0773,                 3.5866,                 2.6698,                0.07512,                0.36364,                0.03834,                0.01275,                 3.4854,                 5.0091,                 3.6586,              0.0009407,              0.0009407,              0.0009407
                    110,                 2.7796,                 3.1551,                 2.7865,                0.05905,                0.19427,                0.04001,                0.02029,                 3.4995,                 3.5848,                 3.7941,              0.0009308,              0.0009308,              0.0009308
                    111,                 2.6033,                 2.8444,                 2.7357,                0.05905,                0.19427,                0.04001,                0.02029,                 3.4995,                 3.5848,                 3.7941,              0.0009209,              0.0009209,              0.0009209
                    112,                 2.8915,                  3.078,                 2.7209,                0.05905,                0.19427,                0.04001,                0.02029,                 3.4995,                 3.5848,                 3.7941,               0.000911,               0.000911,               0.000911
                    113,                 3.0206,                 3.0512,                 2.5631,                0.05905,                0.19427,                0.04001,                0.02029,                 3.4995,                 3.5848,                 3.7941,              0.0009011,              0.0009011,              0.0009011
                    114,                 2.9886,                 2.9154,                 2.7549,                0.00182,                0.54545,                0.03177,                0.01336,                 3.0865,                 3.9402,                 3.3249,              0.0008912,              0.0008912,              0.0008912
                    115,                 2.6978,                 2.7839,                 2.7472,                0.00182,                0.54545,                0.03177,                0.01336,                 3.0865,                 3.9402,                 3.3249,              0.0008813,              0.0008813,              0.0008813
                    116,                 2.9317,                 2.8859,                 2.7377,                0.00182,                0.54545,                0.03177,                0.01336,                 3.0865,                 3.9402,                 3.3249,              0.0008714,              0.0008714,              0.0008714
                    117,                 2.9184,                 2.6523,                 2.7362,                0.00182,                0.54545,                0.03177,                0.01336,                 3.0865,                 3.9402,                 3.3249,              0.0008615,              0.0008615,              0.0008615
                    118,                 3.0577,                 2.9289,                 3.2456,                 0.9546,                0.45455,                0.64658,                0.20928,                 2.4788,                 3.1897,                 3.1281,              0.0008516,              0.0008516,              0.0008516
                    119,                 2.8324,                 3.0179,                  3.079,                 0.9546,                0.45455,                0.64658,                0.20928,                 2.4788,                 3.1897,                 3.1281,              0.0008417,              0.0008417,              0.0008417
                    120,                 3.1738,                 2.9249,                 2.8384,                 0.9546,                0.45455,                0.64658,                0.20928,                 2.4788,                 3.1897,                 3.1281,              0.0008318,              0.0008318,              0.0008318
                    121,                 2.8863,                 2.9338,                 3.0412,                 0.9546,                0.45455,                0.64658,                0.20928,                 2.4788,                 3.1897,                 3.1281,              0.0008219,              0.0008219,              0.0008219
                    122,                 2.8064,                 2.9678,                 2.6246,                0.25986,                0.81818,                0.63625,                0.21473,                 2.4008,                 3.3204,                 3.0818,               0.000812,               0.000812,               0.000812
                    123,                 3.4184,                 2.4612,                 2.8423,                0.25986,                0.81818,                0.63625,                0.21473,                 2.4008,                 3.3204,                 3.0818,              0.0008021,              0.0008021,              0.0008021
                    124,                  2.575,                  3.205,                 3.0688,                0.25986,                0.81818,                0.63625,                0.21473,                 2.4008,                 3.3204,                 3.0818,              0.0007922,              0.0007922,              0.0007922
                    125,                 2.8485,                 2.9107,                 3.0146,                0.25986,                0.81818,                0.63625,                0.21473,                 2.4008,                 3.3204,                 3.0818,              0.0007823,              0.0007823,              0.0007823
                    126,                 2.4606,                 2.3427,                 2.5755,                0.71603,                0.54545,                 0.5821,                0.22403,                  2.475,                 3.1457,                 2.9924,              0.0007724,              0.0007724,              0.0007724
                    127,                 2.6138,                 3.4058,                 2.9246,                0.71603,                0.54545,                 0.5821,                0.22403,                  2.475,                 3.1457,                 2.9924,              0.0007625,              0.0007625,              0.0007625
                    128,                 2.8975,                 3.0461,                 2.7352,                0.71603,                0.54545,                 0.5821,                0.22403,                  2.475,                 3.1457,                 2.9924,              0.0007526,              0.0007526,              0.0007526
                    129,                 2.9308,                 3.1735,                  2.685,                0.71603,                0.54545,                 0.5821,                0.22403,                  2.475,                 3.1457,                 2.9924,              0.0007427,              0.0007427,              0.0007427
                    130,                 2.6402,                 2.6187,                 2.5774,                0.35443,                0.36364,                0.39063,                0.08418,                 3.4522,                 3.3406,                 3.2085,              0.0007328,              0.0007328,              0.0007328
                    131,                 2.8064,                 3.6842,                 3.0239,                0.35443,                0.36364,                0.39063,                0.08418,                 3.4522,                 3.3406,                 3.2085,              0.0007229,              0.0007229,              0.0007229
                    132,                 2.9663,                 2.8838,                 3.1069,                0.35443,                0.36364,                0.39063,                0.08418,                 3.4522,                 3.3406,                 3.2085,               0.000713,               0.000713,               0.000713
                    133,                 2.6246,                 3.0731,                 2.6359,                0.35443,                0.36364,                0.39063,                0.08418,                 3.4522,                 3.3406,                 3.2085,              0.0007031,              0.0007031,              0.0007031
                    134,                 2.8983,                 2.5761,                  2.979,                0.13977,                0.36364,                0.06973,                0.01188,                 3.8445,                 3.9575,                 3.4816,              0.0006932,              0.0006932,              0.0006932
                    135,                 2.9403,                   2.86,                 2.6805,                0.13977,                0.36364,                0.06973,                0.01188,                 3.8445,                 3.9575,                 3.4816,              0.0006833,              0.0006833,              0.0006833
                    136,                 2.9331,                 3.2326,                 2.5074,                0.13977,                0.36364,                0.06973,                0.01188,                 3.8445,                 3.9575,                 3.4816,              0.0006734,              0.0006734,              0.0006734
                    137,                 2.7457,                  2.809,                  2.629,                0.13977,                0.36364,                0.06973,                0.01188,                 3.8445,                 3.9575,                 3.4816,              0.0006635,              0.0006635,              0.0006635
                    138,                 2.3331,                 2.7825,                 2.5684,                0.14304,                0.36364,                0.08972,                0.01888,                 3.1066,                 4.1678,                 3.0392,              0.0006536,              0.0006536,              0.0006536
                    139,                  2.716,                 3.3127,                 2.8429,                0.14304,                0.36364,                0.08972,                0.01888,                 3.1066,                 4.1678,                 3.0392,              0.0006437,              0.0006437,              0.0006437
                    140,                 2.4057,                 2.9238,                 2.7502,                0.14304,                0.36364,                0.08972,                0.01888,                 3.1066,                 4.1678,                 3.0392,              0.0006338,              0.0006338,              0.0006338
                    141,                 2.4391,                 2.1106,                 2.4088,                0.14304,                0.36364,                0.08972,                0.01888,                 3.1066,                 4.1678,                 3.0392,              0.0006239,              0.0006239,              0.0006239
                    142,                 2.0731,                   2.72,                 2.3895,                0.11253,                0.18182,                0.06898,                0.03123,                 2.0709,                 3.8747,                 2.7969,               0.000614,               0.000614,               0.000614
                    143,                 2.6492,                 2.4472,                 2.5089,                0.11253,                0.18182,                0.06898,                0.03123,                 2.0709,                 3.8747,                 2.7969,              0.0006041,              0.0006041,              0.0006041
                    144,                  2.478,                 2.9232,                 2.7616,                0.11253,                0.18182,                0.06898,                0.03123,                 2.0709,                 3.8747,                 2.7969,              0.0005942,              0.0005942,              0.0005942
                    145,                 2.3527,                 3.1524,                  2.903,                0.11253,                0.18182,                0.06898,                0.03123,                 2.0709,                 3.8747,                 2.7969,              0.0005843,              0.0005843,              0.0005843
                    146,                 2.5547,                 2.3773,                 2.4607,                0.30022,                0.09091,                0.08725,                0.03272,                 1.8215,                 3.7123,                 2.7626,              0.0005744,              0.0005744,              0.0005744
                    147,                 2.3403,                  3.494,                 2.9086,                0.30022,                0.09091,                0.08725,                0.03272,                 1.8215,                 3.7123,                 2.7626,              0.0005645,              0.0005645,              0.0005645
                    148,                 2.4535,                 2.7957,                 2.9581,                0.30022,                0.09091,                0.08725,                0.03272,                 1.8215,                 3.7123,                 2.7626,              0.0005546,              0.0005546,              0.0005546
                    149,                 2.3595,                 2.7452,                 2.6381,                0.30022,                0.09091,                0.08725,                0.03272,                 1.8215,                 3.7123,                 2.7626,              0.0005447,              0.0005447,              0.0005447
                    150,                  2.776,                  2.671,                 2.6839,                0.13867,                0.18182,                0.12388,                 0.0511,                 1.8972,                 3.4077,                 2.7704,              0.0005348,              0.0005348,              0.0005348
                    151,                 2.6872,                  3.064,                 2.9104,                0.13867,                0.18182,                0.12388,                 0.0511,                 1.8972,                 3.4077,                 2.7704,              0.0005249,              0.0005249,              0.0005249
                    152,                 2.3109,                 3.3204,                 2.1692,                0.13867,                0.18182,                0.12388,                 0.0511,                 1.8972,                 3.4077,                 2.7704,               0.000515,               0.000515,               0.000515
                    153,                 2.3534,                 2.5576,                 2.4541,                0.13867,                0.18182,                0.12388,                 0.0511,                 1.8972,                 3.4077,                 2.7704,              0.0005051,              0.0005051,              0.0005051
                    154,                 2.7085,                 3.0066,                 2.8866,                0.28677,                0.54841,                0.31651,                0.11377,                 2.0155,                 2.8615,                 2.7024,              0.0004952,              0.0004952,              0.0004952
                    155,                 2.4787,                 2.1467,                  2.358,                0.28677,                0.54841,                0.31651,                0.11377,                 2.0155,                 2.8615,                 2.7024,              0.0004853,              0.0004853,              0.0004853
                    156,                 2.5343,                 2.3259,                 2.5057,                0.28677,                0.54841,                0.31651,                0.11377,                 2.0155,                 2.8615,                 2.7024,              0.0004754,              0.0004754,              0.0004754
                    157,                 2.5018,                 3.2041,                 3.0081,                0.28677,                0.54841,                0.31651,                0.11377,                 2.0155,                 2.8615,                 2.7024,              0.0004655,              0.0004655,              0.0004655
