                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0487,                 5.5479,                 4.4154,                      0,                      0,                      0,                      0,                 4.5126,                 5.9519,                 4.1588,                  2e-05,                  2e-05,                  2e-05
                      2,                 5.0391,                 6.0864,                 4.5296,                      0,                      0,                      0,                      0,                 4.5136,                 5.9541,                 4.1588,             5.9703e-05,             5.9703e-05,             5.9703e-05
                      3,                 4.3091,                 6.9597,                   4.49,                      0,                      0,                      0,                      0,                 4.5146,                 5.9558,                 4.1587,              9.901e-05,              9.901e-05,              9.901e-05
                      4,                 5.2078,                 5.9436,                 4.4085,                      0,                      0,                      0,                      0,                 4.5159,                 5.9569,                 4.1586,             0.00013792,             0.00013792,             0.00013792
                      5,                 4.6253,                 5.6573,                 4.6335,                      0,                      0,                      0,                      0,                 4.5174,                 5.9586,                 4.1588,             0.00017644,             0.00017644,             0.00017644
                      6,                 5.0034,                 6.0769,                 4.2725,                      0,                      0,                      0,                      0,                 4.5191,                 5.9605,                 4.1589,             0.00021456,             0.00021456,             0.00021456
                      7,                 4.2734,                 5.5145,                 4.6526,                      0,                      0,                      0,                      0,                  4.521,                 5.9626,                 4.1591,             0.00025228,             0.00025228,             0.00025228
                      8,                  4.176,                 5.2598,                 4.5668,                      0,                      0,                      0,                      0,                  4.523,                 5.9646,                 4.1593,              0.0002896,              0.0002896,              0.0002896
                      9,                 3.6664,                 7.1188,                 5.1591,                      0,                      0,                      0,                      0,                 4.5254,                 5.9667,                 4.1597,             0.00032654,             0.00032654,             0.00032654
                     10,                 4.4481,                 5.7672,                 4.2291,                      0,                      0,                      0,                      0,                 4.5282,                 5.9684,                 4.1603,             0.00036307,             0.00036307,             0.00036307
                     11,                 4.3986,                 5.5849,                 4.3247,                      0,                      0,                      0,                      0,                 4.5311,                  5.967,                 4.1611,             0.00039921,             0.00039921,             0.00039921
